%time,field.header.seq,field.header.stamp,field.header.frame_id,field.status.status,field.status.service,field.latitude,field.longitude,field.altitude,field.position_covariance0,field.position_covariance1,field.position_covariance2,field.position_covariance3,field.position_covariance4,field.position_covariance5,field.position_covariance6,field.position_covariance7,field.position_covariance8,field.position_covariance_type
1597380904816615765,38,1596774724196866989,base_link,2,0,-6.87082347082,107.572869253,863.631,2.74969361274,-2.06654138246e-13,-1.13889528516e-14,-2.06640260458e-13,2.74969361274,-1.79514194308e-15,-1.13889528516e-14,-1.79514194308e-15,1.07399829162e-06,3
1597380905016287103,39,1596774724396635056,base_link,2,0,-6.87082321581,107.572867448,863.631,3.46243996033,5.83894044226e-13,-1.43838319004e-14,5.8386628865e-13,3.46243996032,-2.17322641881e-15,-1.43838319004e-14,-2.17322641881e-15,1.07392722489e-06,3
1597380905214882477,40,1596774724596574068,base_link,2,0,-6.87082290855,107.572865172,863.631,3.79604181523,1.01757491322e-12,-1.56853735308e-14,1.0176026688e-12,3.79604181523,-2.38823812722e-15,-1.56853735308e-14,-2.38823812722e-15,1.0738419592e-06,3
1597380905415724236,41,1596774724796350956,base_link,2,0,-6.87082252198,107.572863362,863.631,4.6548583803,2.42067477174e-12,-1.93236842543e-14,2.42064701617e-12,4.6548583803,-2.87610832521e-15,-1.93236842543e-14,-2.87610832521e-15,1.07416377712e-06,3
1597380905615692770,42,1596774724996143103,base_link,2,0,-6.87082233441,107.57286154,863.631,4.8115427467,3.2146507678e-12,-1.95721674734e-14,3.2146507678e-12,4.81154274671,-3.15542320052e-15,-1.95721674734e-14,-3.15542320052e-15,1.0741006192e-06,3
1597380905815651669,43,1596774725176096916,base_link,2,0,-6.87082237113,107.572858609,863.631,3.29687983843,3.21034865358e-13,-1.35604746881e-14,3.21034865358e-13,3.29687983843,-2.19809495007e-15,-1.35604746881e-14,-2.19809495007e-15,1.07451944781e-06,3
1597380906015872788,44,1596774725375842094,base_link,2,0,-6.87082213424,107.572856404,863.631,2.6186625799,1.00627839394e-13,-1.07742948793e-14,1.00613961607e-13,2.6186625799,-1.74686395074e-15,-1.07742948793e-14,-1.74686395074e-15,1.074560022e-06,3
1597380906216000984,45,1596774725595496893,base_link,2,0,-6.87082207886,107.57285437,863.631,3.33790248208,-8.08519917683e-14,-1.37428514892e-14,-8.08797473439e-14,3.33790248207,-2.20898862119e-15,-1.37428514892e-14,-2.20898862119e-15,1.07421607022e-06,3
1597380906416309370,46,1596774725795248985,base_link,2,0,-6.87082157446,107.57285313,863.631,2.56808854117,2.69506639228e-13,-1.05000039019e-14,2.69534394803e-13,2.56808854117,-1.79130099174e-15,-1.05000039019e-14,-1.79130099174e-15,1.07389513148e-06,3
1597380906615372703,47,1596774725995167017,base_link,2,0,-6.8708212008,107.572851274,863.631,3.01855879923,1.74515957241e-12,-1.2361678047e-14,1.74515957241e-12,3.01855879923,-1.92272758529e-15,-1.2361678047e-14,-1.9227275853e-15,1.07425813427e-06,3
