%time,field.header.seq,field.header.stamp,field.header.frame_id,field.twist.linear.x,field.twist.linear.y,field.twist.linear.z,field.twist.angular.x,field.twist.angular.y,field.twist.angular.z
1597380908605164852,3163,1596774728026726007,/gps,-0.832096331361,0.103790561433,0.0,0.0,0.0,0.0
1597380908612845093,3164,1596774728035244941,/gps,0.50737321261,0.667629544308,0.0,0.0,0.0,0.0
1597380908811920644,3165,1596774728233603000,/gps,-1.3098206972,0.214491364956,0.0,0.0,0.0,0.0
1597380908815504584,3166,1596774728238224983,/gps,0.394447639474,-1.26729943745,0.0,0.0,0.0,0.0
1597380909013978762,3167,1596774728435201883,/gps,-1.60340163028,0.0730904676352,0.0,0.0,0.0,0.0
1597380909026576589,3168,1596774728448753118,/gps,1.04448382609,-1.218725786,0.0,0.0,0.0,0.0
1597380909212483798,3169,1596774728634316921,/gps,-0.824950794988,0.0739151618849,0.0,0.0,0.0,0.0
1597380909219064757,3170,1596774728641457080,/gps,-0.806323056415,0.189342002737,0.0,0.0,0.0,0.0
1597380909414120732,3171,1596774728833857059,/gps,-1.28428942094,0.211231210119,0.0,0.0,0.0,0.0
1597380909421685013,3172,1596774728843734025,/gps,0.336797583981,-1.25721331853,0.0,0.0,0.0,0.0
1597380909610007206,3173,1596774729030571937,/gps,-1.48761906389,0.273029189886,0.0,0.0,0.0,0.0
1597380909623101686,3174,1596774729045186042,/gps,-1.0831355039,-1.05563862092,0.0,0.0,0.0,0.0
1597380909809407249,3175,1596774729230962991,/gps,-1.05051941885,0.139609412814,0.0,0.0,0.0,0.0
1597380909818463373,3176,1596774729240127086,/gps,0.949149305383,0.471378227774,0.0,0.0,0.0,0.0
1597380910012092711,3177,1596774729433259963,/gps,-1.22501180748,0.154103372178,0.0,0.0,0.0,0.0
1597380910021919016,3178,1596774729444365024,/gps,0.804653679161,0.936447667725,0.0,0.0,0.0,0.0
1597380910209722635,3179,1596774729631272077,/gps,-1.35443376874,0.100176430355,0.0,0.0,0.0,0.0
1597380910214626468,3180,1596774729637186050,/gps,-1.07344982602,-0.832004580594,0.0,0.0,0.0,0.0
1597380910409707784,3181,1596774729829727888,/gps,-1.02700063815,0.18941645406,0.0,0.0,0.0,0.0
1597380910419696057,3182,1596774729841221094,/gps,-0.783374105443,-0.69060402167,0.0,0.0,0.0,0.0
